Country,Lat,Long,Sample_ID,Plot_ID,tillage_intensity,tillage_intensity_calc,Crop_sp_2017,Crop_2017,Land_use,tillage_no_times,tillage_depth_max_cm,Crop_cover,src,geometry,overlay_id,bs_glad.landsat.seasconv.m.yearly_sum_30m_s_20090101_20091231_eu_epsg.3035_v20231127,bs_glad.landsat.seasconv.m.yearly_sum_30m_s_20080101_20081231_eu_epsg.3035_v20231127,bs_glad.landsat.seasconv.m.yearly_sum_30m_s_20120101_20121231_eu_epsg.3035_v20231127,bs_glad.landsat.seasconv.m.yearly_sum_30m_s_20150101_20151231_eu_epsg.3035_v20231127,bs_glad.landsat.seasconv.m.yearly_sum_30m_s_20100101_20101231_eu_epsg.3035_v20231127,bs_glad.landsat.seasconv.m.yearly_sum_30m_s_20160101_20161231_eu_epsg.3035_v20231127,bs_glad.landsat.seasconv.m.yearly_sum_30m_s_20140101_20141231_eu_epsg.3035_v20231127,bs_glad.landsat.seasconv.m.yearly_sum_30m_s_20070101_20071231_eu_epsg.3035_v20231127,bs_glad.landsat.seasconv.m.yearly_sum_30m_s_20110101_20111231_eu_epsg.3035_v20231127,bs_glad.landsat.seasconv.m.yearly_sum_30m_s_20130101_20131231_eu_epsg.3035_v20231127,bsf_10years,bsf_10years_agg
France,47.390386,4.775062,FR32,SC6,0.894539648,90.0,winter_wheat,wheat,,3,30,0.79787234,amf.fungi cover.crop,POINT (3926606.032225289 2711341.066841603),25,16.0,33.0,16.0,16.0,16.0,0.0,33.0,33.0,16.0,16.0,"[33.0, 33.0, 16.0, 16.0, 16.0, 16.0, 16.0, 33.0, 16.0, 0.0]",19.5
France,47.390526,4.775187,FR33,SC7,0.894539648,90.0,winter_wheat,wheat,,3,30,0.882978723,amf.fungi cover.crop,POINT (3926616.512867945 2711355.923973105),26,16.0,16.0,0.0,16.0,16.0,0.0,0.0,33.0,16.0,0.0,"[33.0, 16.0, 16.0, 16.0, 16.0, 0.0, 0.0, 0.0, 16.0, 0.0]",11.3
France,47.390616,4.77522,FR34,SC8,0.894539648,90.0,winter_wheat,wheat,,3,30,0.893617021,amf.fungi cover.crop,POINT (3926619.682552157 2711365.727267921),27,16.0,16.0,0.0,16.0,16.0,0.0,0.0,33.0,16.0,0.0,"[33.0, 16.0, 16.0, 16.0, 16.0, 0.0, 0.0, 0.0, 16.0, 0.0]",11.3
France,48.326813,2.382192,FR36,1312,0.596359766,40.0,winter_wheat,wheat,Cropland,2,20,0.873873874,amf.fungi cover.crop soc,POINT (3757017.910705774 2830619.98787731),28,0.0,16.0,16.0,0.0,16.0,16.0,0.0,16.0,0.0,0.0,"[16.0, 16.0, 0.0, 16.0, 0.0, 16.0, 0.0, 0.0, 0.0, 16.0]",8.0
France,48.327091,2.380599,FR37,1115,0.596359766,40.0,winter_wheat,barley,Cropland,2,20,0.845454545,amf.fungi cover.crop soc,POINT (3756903.564385959 2830662.936163224),29,16.0,33.0,16.0,16.0,0.0,33.0,33.0,33.0,16.0,0.0,"[33.0, 33.0, 16.0, 0.0, 16.0, 16.0, 0.0, 33.0, 16.0, 33.0]",19.6
Germany,48.01373,10.4564,CH61,Martin Tröbersberger,0.6429121880000001,48.0,Triticum_aestivum,wheat,,4,12,0.964912281,amf.fungi cover.crop,POINT (4355067.758361642 2766788.523813814),30,16.0,0.0,16.0,16.0,16.0,16.0,16.0,0.0,16.0,16.0,"[0.0, 0.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",12.8
Germany,48.08642,10.41639,CH58,Christian Matthesius,0.674903672,48.0,Triticum_aestivum,wheat,,2,24,0.763157895,amf.fungi cover.crop,POINT (4352036.924635137 2774849.086125131),31,33.0,16.0,16.0,16.0,50.0,33.0,50.0,0.0,16.0,33.0,"[0.0, 16.0, 33.0, 50.0, 16.0, 16.0, 33.0, 50.0, 16.0, 33.0]",26.3
Germany,48.08834,10.45663,CH66,Diverse neighbour of Christian Matthesius,0.592719531,25.0,Triticum_aestivum,wheat,,1,25,0.946428571,amf.fungi cover.crop,POINT (4355035.011393865 2775080.183059481),32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
Germany,48.09583,10.43752,CH68,Johann Stegmann,0.674903672,48.0,Triticum_aestivum,wheat,,2,24,0.75,amf.fungi cover.crop,POINT (4353605.859705498 2775903.959111055),33,0.0,0.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.0, 16.0]",3.2
Germany,48.11282,10.43511,CH60,Florian and Johannes Pfänder,0.901820117,100.0,Triticum_aestivum,wheat,,5,20,0.973684211,amf.fungi cover.crop,POINT (4353415.421303851 2777791.078356326),34,0.0,0.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.0, 16.0]",3.2
