,nuts_id,ara,araxtil,til_cserv,til_cv,til_zero,mean,median,p90,p10,share_xld,share_cser,share_cv,share_zero,mean_scaled
59,PT16,-27340.0,140.0,21490.0,-47380.0,-1600.0,0.5298462000711197,1.0,1.0,0.0,0.026900118572278392,0.12659220680923927,-0.1467435772742608,-0.006748748107256843,0.004238769600568959
60,PT17,-5910.0,-2000.0,9930.0,-11030.0,-2800.0,0.17759383062335132,0.0,-1.0,1.0,-0.02894427772959779,0.3130576732574468,-0.2163308078150759,-0.0677825877127731,0.0014207506449868124
61,PT18,-95320.0,-59000.0,180290.0,-205870.0,-10760.0,0.006674466256384903,0.0,1.0,0.0,-0.04211961987732532,0.332030229863017,-0.27733280081664635,-0.012577809169045266,5.339573005105902e-05
62,RO11,-3730.0,-96430.0,9570.0,4740.0,78390.0,-2.5446130119545103,-4.0,-2.0,-1.0,-0.1210235096689824,0.012156209222997719,0.009376106611928559,0.09949119383405622,-0.02035690409563609
63,RO12,-34370.0,-7230.0,7600.0,-36820.0,2070.0,-1.8907728547487466,-3.0,-1.0,-1.0,-0.007612181296114198,0.01764696407654963,-0.0248557273150819,0.014820944534646469,-0.015126182837989971
64,RO21,-27090.0,26210.0,3450.0,-83910.0,27150.0,-0.9917729753776712,-1.0,-2.0,0.0,0.024523454438079434,0.0030609620719657133,-0.05274657223100088,0.025162155720955773,-0.007934183803021355
65,RO22,-84950.0,100500.0,43150.0,-326100.0,97490.0,0.24008156625279753,0.0,0.0,1.0,0.06370339507775807,0.02704613605469027,-0.15164565070383695,0.06089611957138866,0.001920652530022382
66,RO31,-179850.0,162050.0,-4450.0,-345430.0,7980.0,0.8157891752858006,1.0,0.0,2.0,0.10001350365442607,0.0008139695170760394,-0.1084688289582838,0.007641355786781667,0.0065263134022864044
67,RO32,3730.0,2570.0,-490.0,4270.0,-2600.0,0.4692718007685528,0.0,-2.0,3.0,0.03786610155820548,-0.008628182285616607,0.016301409217309937,-0.0455393284898989,0.0037541744061484195
68,RO41,-70340.0,35330.0,3640.0,-104310.0,-5010.0,-2.015354356018946,-3.0,-1.0,-3.0,0.03904121222160539,0.004988352630563721,-0.044898684134797806,0.0008691192826287414,-0.01612283484815158
69,RO42,-96380.0,76550.0,-37660.0,-83950.0,-51310.0,-0.7965094937202082,-1.0,-2.0,0.0,0.09022728400569135,-0.03559319546765539,-0.017871649261673617,-0.036762439276362247,-0.006372075949761663
70,SK01,-1140.0,-4260.0,-9020.0,5610.0,6520.0,-0.5941705878414325,0.0,-1.0,0.0,-0.06172497716227719,-0.13127417016418164,0.09455573235958792,0.09844341496687097,-0.004753364702731466
71,SK02,2510.0,-23000.0,-2390.0,16070.0,11810.0,-1.1704490833108707,-1.0,-3.0,0.0,-0.03139968233265472,-0.003949221142604931,0.01946822307326146,0.015880680401998193,-0.00936359266648698
72,SK03,-850.0,-10850.0,160.0,1160.0,8670.0,-2.613052072721729,-3.0,-3.0,0.0,-0.050943490587781415,0.0012012716753968117,0.008265648802537995,0.04147657010984662,-0.020904416581773833
73,SK04,2480.0,-32940.0,9520.0,15660.0,10230.0,-1.9968632411566603,-3.0,-2.0,-1.0,-0.10057672097403995,0.027918561302091388,0.04193824156872894,0.030719918103219612,-0.015974905929253297
